Open,Close,Dif,G/P %,Volume,Sinal
28.31999969482422,28.440000534057617,0.12000083923339844,0.4237317815202162,0,
28.420000076293945,28.3799991607666,-0.04000091552734375,-0.14074917459521694,1074,V
28.329999923706055,28.209999084472656,-0.12000083923339844,-0.4235822081064808,1054,V
28.239999771118164,28.25,0.010000228881835938,0.03541157564761545,644,C
28.239999771118164,28.100000381469727,-0.1399993896484375,-0.49574855093171344,661,V
28.100000381469727,28.209999084472656,0.10999870300292969,0.3914544537709945,193,C
28.239999771118164,28.200000762939453,-0.03999900817871094,-0.1416395485230104,215,V
28.149999618530273,28.110000610351562,-0.03999900817871094,-0.14209239332415774,637,V
28.049999237060547,28.010000228881836,-0.03999900817871094,-0.14259896351748552,341,V
28.020000457763672,27.93000030517578,-0.09000015258789062,-0.3211996827892761,351,V
27.989999771118164,28.049999237060547,0.05999946594238281,0.2143603659628966,243,C
28.110000610351562,28.229999542236328,0.11999893188476562,0.4268905346112863,279,C
28.239999771118164,28.1299991607666,-0.1100006103515625,-0.3895205780563185,570,V
28.100000381469727,28.09000015258789,-0.010000228881835938,-0.035588002655083564,226,V
28.020000457763672,28.040000915527344,0.020000457763671875,0.07137921997474567,322,C
28.0,28.200000762939453,0.20000076293945312,0.7142884390694755,496,C
28.229999542236328,28.1299991607666,-0.10000038146972656,-0.3542344424062457,363,V
28.100000381469727,28.049999237060547,-0.05000114440917969,-0.1779400132754178,227,V
28.049999237060547,28.06999969482422,0.020000457763671875,0.07130288166727163,497,C
28.040000915527344,28.1299991607666,0.08999824523925781,0.32096377425373285,90,C
28.049999237060547,27.979999542236328,-0.06999969482421875,-0.24955328601839297,701,V
27.989999771118164,27.989999771118164,0.0,0.0,478,V
27.969999313354492,27.950000762939453,-0.019998550415039062,-0.07150000323915132,602,V
27.969999313354492,27.93000030517578,-0.03999900817871094,-0.1430068257442291,662,V
27.959999084472656,27.829999923706055,-0.12999916076660156,-0.46494694214348337,475,V
27.829999923706055,27.850000381469727,0.020000457763671875,0.0718665390531861,348,C
27.850000381469727,27.799999237060547,-0.05000114440917969,-0.1795373203745033,315,V
27.84000015258789,27.850000381469727,0.010000228881835938,0.035920362166041,335,C
27.829999923706055,27.84000015258789,0.010000228881835938,0.03593326952659305,659,C
27.84000015258789,27.8700008392334,0.030000686645507812,0.107761086498123,321,C
27.8700008392334,27.979999542236328,0.10999870300292969,0.39468496480301984,100,C
28.030000686645508,28.049999237060547,0.019998550415039062,0.07134694942967693,444,C
28.059999465942383,27.959999084472656,-0.10000038146972656,-0.35638055371704935,249,V
27.959999084472656,27.950000762939453,-0.009998321533203125,-0.035759377183798284,221,V
27.950000762939453,27.959999084472656,0.009998321533203125,0.03577216908866953,293,C
27.979999542236328,28.040000915527344,0.060001373291015625,0.21444379654274992,245,C
28.06999969482422,28.049999237060547,-0.020000457763671875,-0.07125207688320612,397,V
28.049999237060547,27.979999542236328,-0.06999969482421875,-0.24955328601839297,625,V
27.979999542236328,28.0,0.020000457763671875,0.07148126551424996,296,C
27.979999542236328,27.989999771118164,0.010000228881835938,0.03574063275712498,277,C
27.979999542236328,27.940000534057617,-0.03999900817871094,-0.14295571419982223,200,V
27.940000534057617,27.950000762939453,0.010000228881835938,0.03579179917926667,337,C
27.979999542236328,28.049999237060547,0.06999969482421875,0.2501776124711972,177,C
28.049999237060547,28.020000457763672,-0.029998779296875,-0.1069475226838497,439,V
28.0,28.049999237060547,0.049999237060546875,0.1785687037876674,155,C
28.059999465942383,28.040000915527344,-0.019998550415039062,-0.07127067282845873,157,V
28.059999465942383,28.079999923706055,0.020000457763671875,0.07127747022214766,159,C
28.06999969482422,28.020000457763672,-0.049999237060546875,-0.17812339723596846,337,V
28.059999465942383,28.010000228881836,-0.049999237060546875,-0.17818687816168022,42,V
28.0,27.959999084472656,-0.04000091552734375,-0.14286041259765625,238,V
27.940000534057617,27.899999618530273,-0.04000091552734375,-0.14316719671706668,443,V
27.90999984741211,27.950000762939453,0.04000091552734375,0.1433210883053901,218,C
27.950000762939453,27.889999389648438,-0.060001373291015625,-0.21467395940316025,4,V
27.889999389648438,27.829999923706055,-0.05999946594238281,-0.2151289611166217,479,V
27.81999969482422,27.850000381469727,0.030000686645507812,0.10783855849965843,20,C
27.850000381469727,27.850000381469727,0.0,0.0,402,V
27.81999969482422,27.8700008392334,0.05000114440917969,0.17973093083276406,353,C
27.8799991607666,27.790000915527344,-0.08999824523925781,-0.3228057673900704,1842,V
27.780000686645508,27.790000915527344,0.010000228881835938,0.0359979432493077,858,C
27.780000686645508,27.84000015258789,0.05999946594238281,0.21598079359021022,221,C
27.84000015258789,27.889999389648438,0.049999237060546875,0.17959495972164768,363,C
27.899999618530273,27.899999618530273,0.0,0.0,193,V
27.889999389648438,27.799999237060547,-0.09000015258789062,-0.32269686108811746,250,V
27.799999237060547,27.799999237060547,0.0,0.0,0,V
